64,0.3063,0.1734,0.2798,0.0459
100,0.2965,0.1708,0.3164,0.1462
128,0.2839,0.0610,0.3511,0.0686
200,0.2984,0.2662,0.3774,0.3796
256,0.2574,0.0542,0.3829,0.4492
512,0.3538,0.2039,0.3642,0.4943
600,0.3229,0.1865,0.3642,0.1023
900,0.3436,0.2817,0.3050,0.1023
1024,0.3265,0.2516,0.3074,0.3550
2000,0.3552,0.2989,0.3054,0.3339
2048,0.3863,0.4224,0.3017,0.3220
3000,0.4041,0.3063,0.2443,0.3459
4000,0.4162,0.2898,0.2459,0.4586
5000,0.4347,0.2977,0.2453,0.4332
6000,0.3938,0.3014,0.2465,0.4375
10000,0.3915,0.2895,0.2463,0.4302
