Size,Threads,Sched,Chunk,Time,Type,Value
10,2,0,0,par_time,std_dev,0.0009012139054638264
10,2,0,0,par_time,mean,0.03248685714285715
10,2,0,0,total_time,std_dev,0.0008599470399766647
10,2,0,0,total_time,mean,0.11623242857142857
10,2,1,0,par_time,std_dev,0.0008103415197833615
10,2,1,0,par_time,mean,0.03298738095238095
10,2,1,0,total_time,std_dev,0.0007789189864260392
10,2,1,0,total_time,mean,0.11671921428571426
10,2,2,0,par_time,std_dev,0.0007037445040883216
10,2,2,0,par_time,mean,0.03315692063492064
10,2,2,0,total_time,std_dev,0.0006761171321725517
10,2,2,0,total_time,mean,0.11688147619047613
10,2,3,0,par_time,std_dev,0.0006268971392841336
10,2,3,0,par_time,mean,0.033241690476190466
10,2,3,0,total_time,std_dev,0.0006764077220601379
10,2,3,0,total_time,mean,0.1170627857142857
10,4,0,0,par_time,std_dev,0.0003101816242139438
10,4,0,0,par_time,mean,0.06114059999999999
10,4,0,0,total_time,std_dev,0.0
10,4,0,0,total_time,mean,0.143619
10,4,1,0,par_time,std_dev,0.00037338396585919154
10,4,1,0,par_time,mean,0.061452219512195115
10,4,1,0,total_time,std_dev,4.975609756097121e-05
10,4,1,0,total_time,mean,0.14365880487804875
10,4,2,0,par_time,std_dev,0.0003345482238001975
10,4,2,0,par_time,mean,0.061552741935483886
10,4,2,0,total_time,std_dev,0.0012216095066266276
10,4,2,0,total_time,mean,0.14441470967741935
10,4,3,0,par_time,std_dev,0.00030147041013499966
10,4,3,0,par_time,mean,0.06160239759036145
10,4,3,0,total_time,std_dev,0.0013639689701125278
10,4,3,0,total_time,mean,0.14491726506024097
10,8,0,0,par_time,std_dev,0.00017964863665795346
10,8,0,0,par_time,mean,0.21814271428571427
10,8,0,0,total_time,std_dev,0.0012969882660834847
10,8,0,0,total_time,mean,0.29833709523809526
10,8,1,0,par_time,std_dev,0.0001305222025230722
10,8,1,0,par_time,mean,0.21817261904761917
10,8,1,0,total_time,std_dev,0.0011436893986026943
10,8,1,0,total_time,mean,0.29898650000000004
10,8,2,0,par_time,std_dev,0.0005622173787356394
10,8,2,0,par_time,mean,0.21853700000000012
10,8,2,0,total_time,std_dev,0.0010102125817457776
10,8,2,0,total_time,mean,0.29925900000000005
10,8,3,0,par_time,std_dev,0.000607755119858547
10,8,3,0,par_time,mean,0.218747
10,8,3,0,total_time,std_dev,0.0010420243045240474
10,8,3,0,total_time,mean,0.29956127380952374
10,16,0,0,par_time,std_dev,0.019085194816973003
10,16,0,0,par_time,mean,0.7999674761904763
10,16,0,0,total_time,std_dev,0.017304700110616432
10,16,0,0,total_time,mean,0.8759912857142858
10,16,1,0,par_time,std_dev,0.014886081678965556
10,16,1,0,par_time,mean,0.8062502380952384
10,16,1,0,total_time,std_dev,0.014850137740892166
10,16,1,0,total_time,mean,0.8842710714285715
10,16,2,0,par_time,std_dev,0.01251007931772021
10,16,2,0,par_time,mean,0.8083444920634922
10,16,2,0,total_time,std_dev,0.012868648304628147
10,16,2,0,total_time,mean,0.8873193809523812
10,16,3,0,par_time,std_dev,0.010984807151898422
10,16,3,0,par_time,mean,0.8093916190476191
10,16,3,0,total_time,std_dev,0.01150834244805853
10,16,3,0,total_time,mean,0.88895525
10,32,0,0,par_time,std_dev,0.029669557834355525
10,32,0,0,par_time,mean,3.1580550952380952
10,32,0,0,total_time,std_dev,0.030416957342306976
10,32,0,0,total_time,mean,3.2394798095238095
10,32,1,0,par_time,std_dev,0.024019881675645654
10,32,1,0,par_time,mean,3.1684513809523813
10,32,1,0,total_time,std_dev,0.023430626653672505
10,32,1,0,total_time,mean,3.248243595238095
10,32,2,0,par_time,std_dev,0.021765055460653927
10,32,2,0,par_time,mean,3.175125253968254
10,32,2,0,total_time,std_dev,0.02028009411148216
10,32,2,0,total_time,mean,3.2530020634920622
10,32,3,0,par_time,std_dev,0.019715315497805367
10,32,3,0,par_time,mean,3.1784621904761914
10,32,3,0,total_time,std_dev,0.018040064522360996
10,32,3,0,total_time,mean,3.2553812976190475
10,2,0,0,par_time,std_dev,0.0009012139054638264
10,2,0,0,par_time,mean,0.03248685714285715
10,2,0,0,total_time,std_dev,0.0008599470399766647
10,2,0,0,total_time,mean,0.11623242857142857
10,2,1,0,par_time,std_dev,0.0008103415197833615
10,2,1,0,par_time,mean,0.03298738095238095
10,2,1,0,total_time,std_dev,0.0007789189864260392
10,2,1,0,total_time,mean,0.11671921428571426
10,2,2,0,par_time,std_dev,0.0007037445040883216
10,2,2,0,par_time,mean,0.03315692063492064
10,2,2,0,total_time,std_dev,0.0006761171321725517
10,2,2,0,total_time,mean,0.11688147619047613
10,2,3,0,par_time,std_dev,0.0006268971392841336
10,2,3,0,par_time,mean,0.033241690476190466
10,2,3,0,total_time,std_dev,0.0006764077220601379
10,2,3,0,total_time,mean,0.1170627857142857
10,4,0,0,par_time,std_dev,0.0003101816242139438
10,4,0,0,par_time,mean,0.06114059999999999
10,4,0,0,total_time,std_dev,0.0
10,4,0,0,total_time,mean,0.143619
10,4,1,0,par_time,std_dev,0.00037338396585919154
10,4,1,0,par_time,mean,0.061452219512195115
10,4,1,0,total_time,std_dev,4.975609756097121e-05
10,4,1,0,total_time,mean,0.14365880487804875
10,4,2,0,par_time,std_dev,0.0003345482238001975
10,4,2,0,par_time,mean,0.061552741935483886
10,4,2,0,total_time,std_dev,0.0012216095066266276
10,4,2,0,total_time,mean,0.14441470967741935
10,4,3,0,par_time,std_dev,0.00030147041013499966
10,4,3,0,par_time,mean,0.06160239759036145
10,4,3,0,total_time,std_dev,0.0013639689701125278
10,4,3,0,total_time,mean,0.14491726506024097
10,8,0,0,par_time,std_dev,0.00017964863665795346
10,8,0,0,par_time,mean,0.21814271428571427
10,8,0,0,total_time,std_dev,0.0012969882660834847
10,8,0,0,total_time,mean,0.29833709523809526
10,8,1,0,par_time,std_dev,0.0001305222025230722
10,8,1,0,par_time,mean,0.21817261904761917
10,8,1,0,total_time,std_dev,0.0011436893986026943
10,8,1,0,total_time,mean,0.29898650000000004
10,8,2,0,par_time,std_dev,0.0005622173787356394
10,8,2,0,par_time,mean,0.21853700000000012
10,8,2,0,total_time,std_dev,0.0010102125817457776
10,8,2,0,total_time,mean,0.29925900000000005
10,8,3,0,par_time,std_dev,0.000607755119858547
10,8,3,0,par_time,mean,0.218747
10,8,3,0,total_time,std_dev,0.0010420243045240474
10,8,3,0,total_time,mean,0.29956127380952374
10,16,0,0,par_time,std_dev,0.019085194816973003
10,16,0,0,par_time,mean,0.7999674761904763
10,16,0,0,total_time,std_dev,0.017304700110616432
10,16,0,0,total_time,mean,0.8759912857142858
10,16,1,0,par_time,std_dev,0.014886081678965556
10,16,1,0,par_time,mean,0.8062502380952384
10,16,1,0,total_time,std_dev,0.014850137740892166
10,16,1,0,total_time,mean,0.8842710714285715
10,16,2,0,par_time,std_dev,0.01251007931772021
10,16,2,0,par_time,mean,0.8083444920634922
10,16,2,0,total_time,std_dev,0.012868648304628147
10,16,2,0,total_time,mean,0.8873193809523812
10,16,3,0,par_time,std_dev,0.010984807151898422
10,16,3,0,par_time,mean,0.8093916190476191
10,16,3,0,total_time,std_dev,0.01150834244805853
10,16,3,0,total_time,mean,0.88895525
10,32,0,0,par_time,std_dev,0.029669557834355525
10,32,0,0,par_time,mean,3.1580550952380952
10,32,0,0,total_time,std_dev,0.030416957342306976
10,32,0,0,total_time,mean,3.2394798095238095
10,32,1,0,par_time,std_dev,0.024019881675645654
10,32,1,0,par_time,mean,3.1684513809523813
10,32,1,0,total_time,std_dev,0.023430626653672505
10,32,1,0,total_time,mean,3.248243595238095
10,32,2,0,par_time,std_dev,0.021765055460653927
10,32,2,0,par_time,mean,3.175125253968254
10,32,2,0,total_time,std_dev,0.02028009411148216
10,32,2,0,total_time,mean,3.2530020634920622
10,32,3,0,par_time,std_dev,0.019715315497805367
10,32,3,0,par_time,mean,3.1784621904761914
10,32,3,0,total_time,std_dev,0.018040064522360996
10,32,3,0,total_time,mean,3.2553812976190475
50,2,0,0,par_time,std_dev,8.795200711499104e-05
50,2,0,0,par_time,mean,0.12883566666666665
50,2,0,0,total_time,std_dev,2.7755575615628914e-17
50,2,0,0,total_time,mean,0.21538299999999996
50,2,0,1,par_time,std_dev,0.0002791785133033122
50,2,0,1,par_time,mean,0.12909169047619046
50,2,0,1,total_time,std_dev,2.7755575615628914e-17
50,2,0,1,total_time,mean,0.21538300000000002
50,2,0,3,par_time,std_dev,0.00034746773252328396
50,2,0,3,par_time,mean,0.12927712698412697
50,2,0,3,total_time,std_dev,2.7755575615628914e-17
50,2,0,3,total_time,mean,0.21538300000000002
50,2,1,0,par_time,std_dev,0.0003410870749756131
50,2,1,0,par_time,mean,0.12936984523809525
50,2,1,0,total_time,std_dev,5.551115123125783e-17
50,2,1,0,total_time,mean,0.21538300000000005
50,2,1,1,par_time,std_dev,0.000324733006674072
50,2,1,1,par_time,mean,0.12942547619047617
50,2,1,1,total_time,std_dev,5.551115123125783e-17
50,2,1,1,total_time,mean,0.21538300000000005
50,2,1,3,par_time,std_dev,0.0003078207449931261
50,2,1,3,par_time,mean,0.1294625634920635
50,2,1,3,total_time,std_dev,5.551115123125783e-17
50,2,1,3,total_time,mean,0.21538300000000005
50,2,2,0,par_time,std_dev,0.0002922806819450634
50,2,2,0,par_time,mean,0.12948905442176872
50,2,2,0,total_time,std_dev,5.551115123125783e-17
50,2,2,0,total_time,mean,0.21538300000000005
50,2,2,1,par_time,std_dev,0.0002784110526726331
50,2,2,1,par_time,mean,0.12950892261904765
50,2,2,1,total_time,std_dev,5.551115123125783e-17
50,2,2,1,total_time,mean,0.21538300000000005
50,2,2,3,par_time,std_dev,0.0002661174665009355
50,2,2,3,par_time,mean,0.12952440740740742
50,2,2,3,total_time,std_dev,5.551115123125783e-17
50,2,2,3,total_time,mean,0.21538300000000005
50,2,3,0,par_time,std_dev,0.0002553017175502872
50,2,3,0,par_time,mean,0.12953706666666667
50,2,3,0,total_time,std_dev,5.551115123125783e-17
50,2,3,0,total_time,mean,0.21538300000000005
50,2,3,1,par_time,std_dev,0.000245614332043032
50,2,3,1,par_time,mean,0.12954742424242424
50,2,3,1,total_time,std_dev,5.551115123125783e-17
50,2,3,1,total_time,mean,0.21538300000000005
50,2,3,3,par_time,std_dev,0.0002368938482237934
50,2,3,3,par_time,mean,0.12955605555555558
50,2,3,3,total_time,std_dev,5.551115123125783e-17
50,2,3,3,total_time,mean,0.21538300000000005
50,4,0,0,par_time,std_dev,0.002891331202482499
50,4,0,0,par_time,mean,0.28616285714285716
50,4,0,0,total_time,std_dev,0.0024460454085297807
50,4,0,0,total_time,mean,0.36842704761904765
50,4,0,1,par_time,std_dev,0.002575686256879422
50,4,0,1,par_time,mean,0.287695142857143
50,4,0,1,total_time,std_dev,0.0017511020235989052
50,4,0,1,total_time,mean,0.36870052380952395
50,4,0,3,par_time,std_dev,0.0023173794635819363
50,4,0,3,par_time,mean,0.28838342857142873
50,4,0,3,total_time,std_dev,0.0014355691181095252
50,4,0,3,total_time,mean,0.3687916825396826
